time,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DGC,DHG,DPM,DXG,EIB,FPT,GAS,GEX,GMD,GVR,HAG,HCM,HDB,HNG,HPG,HSG,HT1,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NT2,NVL,OCB,PDR,PHR,PLX,PNJ,POW,REE,ROS,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VCI,VHC,VHM,VIB,VIC,VJC,VNM,VPB,VPI,VRE
2020-05-31,6.61,24.41,22.63,28.03,42.56,14.15,47.71,10.3,10.34,70.22,5.21,7.63,11.24,20.3,46.18,11.5,13.88,11.19,4.56,6.4,4.79,15.35,9.44,6.95,12.09,10.55,27.34,12.75,3.12,5.0,,50.8,26.69,13.98,29.9,,12.84,37.42,38.93,41.96,8.09,16.64,2970.0,67.68,10.48,5.51,,5.66,10.3,9.78,10.85,5.86,36.82,4.04,23.05,56.48,3.81,43.11,113.0,70.43,7.61,22.98,27.5
2020-06-30,6.58,24.5,21.38,30.5,38.77,13.31,43.69,9.87,11.1,69.61,4.93,7.56,11.57,19.33,42.83,10.91,13.17,9.65,5.2,6.24,4.91,15.3,9.23,7.98,10.98,10.4,24.38,13.45,3.23,4.83,,43.83,25.5,13.98,34.24,,11.26,36.54,37.54,38.17,7.66,16.32,2090.0,60.24,9.39,5.12,,5.66,10.75,9.24,10.9,5.84,34.7,3.63,24.07,55.67,4.06,39.55,108.0,69.93,6.66,22.93,24.8
2020-07-31,6.5,24.04,20.68,29.4,34.42,12.76,41.93,9.71,9.78,70.05,4.8,5.93,10.76,18.84,42.65,12.19,12.96,8.77,3.8,5.82,4.74,11.95,9.13,6.62,10.29,9.31,25.71,13.25,3.23,4.58,,40.91,23.51,14.42,36.25,,11.26,36.76,35.6,34.32,7.22,17.27,2220.0,64.46,9.29,4.64,,5.51,10.1,8.57,10.36,5.84,33.02,3.78,23.39,57.29,4.2,38.88,94.5,66.39,6.58,22.57,25.1
2020-08-31,7.95,30.95,23.1,33.53,42.51,13.56,49.71,11.77,12.74,81.12,6.1,6.53,11.21,21.41,48.25,14.63,16.07,10.4,4.26,6.55,5.62,12.2,10.33,7.88,12.75,10.28,31.86,15.1,3.63,5.22,,44.56,29.47,16.05,35.52,,13.22,41.54,44.28,39.9,7.93,19.64,2170.0,73.47,10.1,5.47,,6.06,11.2,10.06,10.93,6.38,35.87,4.75,26.13,57.88,5.14,39.99,103.0,75.08,7.61,22.14,27.0
2020-09-30,8.44,37.31,23.02,36.46,41.49,13.23,45.14,12.16,13.94,81.12,6.59,6.82,11.05,21.62,46.42,15.59,17.73,11.37,4.56,7.41,6.2,11.8,11.11,10.91,12.79,10.66,32.76,15.04,4.5,5.75,,44.23,32.91,16.29,35.58,,18.03,42.87,43.25,40.5,8.09,21.4,2200.0,70.33,10.41,6.06,,6.89,13.8,10.68,11.33,6.65,36.34,5.42,30.04,55.67,6.47,40.66,104.6,82.33,7.74,22.25,27.6
2020-10-31,9.04,36.39,21.72,34.06,43.65,12.75,36.79,13.28,13.22,78.43,6.01,7.76,11.18,22.27,45.84,12.52,17.36,13.02,4.54,7.3,6.22,10.95,12.85,10.46,12.38,10.4,30.87,15.5,4.93,5.94,,68.05,33.5,16.08,34.52,,19.15,40.51,42.13,46.22,7.42,22.3,2180.0,70.71,10.68,6.06,,6.95,13.3,10.09,9.72,6.47,35.87,6.95,29.36,56.04,7.68,47.33,101.2,81.65,7.69,22.48,25.3
2020-11-30,10.21,40.82,23.53,38.2,47.54,13.37,41.88,15.34,15.39,79.58,6.34,9.38,11.18,23.96,54.37,13.48,20.58,17.12,4.52,8.54,7.18,14.7,14.93,12.55,13.8,11.9,32.27,16.59,4.91,6.79,,66.43,37.12,16.15,33.74,,20.65,46.61,43.68,51.81,8.22,25.87,2530.0,74.24,13.11,6.69,,7.82,14.65,11.38,10.25,7.72,40.19,7.85,31.72,60.91,7.76,46.17,117.5,81.8,8.73,22.34,28.2
2020-12-31,10.54,38.36,27.48,39.27,57.05,16.58,50.69,16.05,17.24,79.97,6.96,10.77,12.51,25.56,56.39,14.83,24.13,27.57,5.25,11.26,7.75,14.55,17.44,15.44,15.39,18.32,34.1,18.17,5.38,7.68,7.1,72.88,38.04,17.43,36.75,,25.71,48.17,46.94,54.28,11.07,26.06,4480.0,75.6,15.22,6.69,,13.45,16.9,14.88,10.75,9.27,42.65,11.18,29.71,65.99,9.11,48.08,125.0,82.25,10.59,22.51,31.4
2021-01-31,10.06,52.14,22.89,37.39,48.84,16.16,48.27,14.17,16.77,77.66,6.09,13.23,10.95,27.11,49.68,13.18,22.06,22.46,4.83,9.64,7.28,11.2,16.47,16.28,14.77,27.66,36.12,19.78,5.49,7.83,6.39,70.1,42.46,16.61,45.17,7.66,27.86,44.66,42.13,55.69,9.69,27.15,3400.0,62.69,13.08,5.74,,11.7,16.9,15.12,11.83,8.63,40.52,9.41,27.27,68.94,8.88,44.17,125.8,78.43,9.77,23.15,32.05
2021-02-28,12.4,53.53,25.02,40.84,51.09,16.51,48.21,17.3,21.93,77.28,6.47,15.86,11.76,32.95,58.14,13.91,24.79,26.55,4.7,10.45,8.21,11.5,19.18,18.47,15.43,29.27,44.42,19.78,6.37,9.23,7.08,74.03,43.2,16.6,44.83,8.17,31.46,46.64,50.04,56.9,10.26,30.18,4820.0,72.89,15.76,6.26,,13.49,18.35,18.54,11.75,9.53,42.78,10.34,28.57,74.91,11.16,48.44,135.1,79.96,13.03,23.09,33.2
