time,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DGC,DHG,DPM,DXG,EIB,FPT,GAS,GEX,GMD,GVR,HAG,HCM,HDB,HNG,HPG,HSG,HT1,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NT2,NVL,OCB,PDR,PHR,PLX,PNJ,POW,REE,ROS,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VCI,VHC,VHM,VIB,VIC,VJC,VNM,VPB,VPI,VRE
2018-09-30,7.57,17.71,19.2,31.63,82.36,19.9,101.04,12.62,9.91,72.11,6.26,16.01,9.2,14.64,68.83,16.51,17.98,7.18,6.13,10.75,7.69,17.15,11.22,7.63,10.32,8.92,23.46,14.94,3.59,6.07,,75.18,29.59,16.01,37.03,,8.86,17.25,54.64,50.46,13.18,17.77,38150.0,82.08,13.49,2.95,,10.27,13.5,13.77,11.7,5.8,26.64,11.02,31.28,61.8,3.9,43.68,150.18,80.4,8.73,22.17,33.21
2018-10-31,6.73,18.43,16.09,28.39,82.44,17.41,88.63,10.72,10.71,60.57,6.06,12.93,8.9,13.26,61.87,14.65,18.35,8.21,5.08,8.54,6.5,14.2,10.68,5.57,9.23,8.5,21.13,14.15,3.24,5.75,,67.24,26.24,14.97,39.59,,8.51,18.48,45.79,46.39,10.97,15.17,36000.0,82.64,13.17,2.49,,9.05,12.5,12.71,9.88,5.73,23.81,8.89,30.92,48.38,3.59,43.2,132.54,67.99,6.97,22.04,28.95
2018-11-30,6.61,19.33,17.13,27.49,80.51,19.28,94.65,10.53,11.41,59.13,6.97,12.9,8.84,13.56,54.01,14.53,18.52,8.04,5.15,8.6,5.94,16.7,8.81,3.99,10.1,8.92,19.87,13.21,3.28,5.66,,64.81,26.21,15.43,37.92,,8.54,20.42,44.64,44.05,11.68,15.32,38700.0,93.63,13.43,2.43,,9.01,12.15,12.31,9.97,5.57,23.73,8.36,33.55,56.68,3.57,45.2,129.86,74.95,6.78,22.09,29.82
2018-12-31,6.57,21.76,18.77,26.9,74.8,19.28,97.39,8.84,10.46,56.97,7.19,12.66,9.13,13.34,51.52,12.72,17.48,8.9,4.88,7.38,6.0,16.0,8.21,3.93,10.37,9.24,19.75,14.5,3.31,5.11,,62.79,26.99,15.5,35.75,,8.22,22.76,40.79,44.95,12.63,14.84,31450.0,100.18,13.5,2.33,,8.42,11.95,12.21,8.64,5.66,22.92,7.92,31.88,53.48,3.36,42.35,118.96,70.84,6.5,22.01,27.1
2019-01-31,6.53,20.68,17.18,23.53,77.49,16.86,82.05,9.02,9.54,61.29,7.32,12.32,10.85,13.66,52.23,12.41,17.25,8.65,5.0,7.15,6.04,14.3,7.35,3.98,11.85,9.91,16.32,13.23,3.09,5.75,,62.95,25.75,18.4,31.52,,8.3,24.16,41.48,45.82,12.99,16.23,34650.0,87.26,13.67,2.33,,8.25,12.3,12.52,9.1,5.9,24.33,6.25,30.77,58.29,3.3,46.17,122.43,79.7,6.58,21.6,28.36
2019-02-28,6.59,22.92,17.73,27.11,79.0,17.59,81.44,9.53,10.0,85.45,6.74,13.03,11.34,13.97,58.42,14.16,18.38,8.47,5.52,8.82,5.94,15.6,8.91,5.25,12.0,10.22,16.73,13.54,3.24,5.65,,72.02,26.92,18.3,32.02,,8.41,29.94,43.48,46.5,12.71,16.77,32000.0,89.88,13.57,2.4,,8.82,12.3,12.52,11.87,5.89,25.91,7.62,31.88,63.75,3.53,50.66,117.96,83.3,6.74,21.05,32.05
2019-03-31,6.73,23.82,19.53,24.83,79.84,18.14,87.29,10.28,9.82,86.77,6.48,11.86,11.44,14.38,59.58,13.27,17.71,10.2,5.56,8.73,5.94,15.55,8.54,5.67,11.55,10.33,17.26,13.93,3.31,5.88,,68.3,26.3,17.01,31.07,,9.18,35.8,45.72,47.99,11.96,16.16,30850.0,93.51,12.61,2.43,,8.6,12.2,12.09,11.0,6.03,28.83,6.54,30.13,66.66,3.63,51.5,115.49,79.58,6.58,21.65,33.61
2019-04-30,6.68,21.67,18.98,24.24,74.46,16.79,73.53,9.73,8.7,85.01,5.95,11.33,11.05,15.66,68.44,12.81,17.31,9.6,5.47,7.88,5.56,15.7,8.91,5.31,12.23,10.15,16.65,13.62,3.16,5.88,,70.4,26.34,17.11,32.91,,9.31,35.39,47.95,48.28,11.68,16.13,29950.0,89.58,12.51,2.43,,8.15,11.95,11.41,10.41,6.06,29.08,6.11,31.47,67.03,3.63,50.53,115.9,76.63,6.21,21.83,34.97
2019-05-31,6.44,20.95,17.18,24.04,64.54,16.9,67.57,9.3,8.23,84.72,5.9,9.74,11.5,15.64,63.28,12.84,17.45,10.11,5.07,8.12,5.41,15.2,8.51,5.4,12.46,10.12,16.08,13.62,2.88,5.62,,69.51,27.17,17.01,33.52,,9.58,38.04,50.53,49.82,12.04,16.49,29800.0,99.99,12.4,2.27,,7.85,11.75,10.68,10.07,6.78,28.78,5.36,31.21,59.74,3.44,50.93,124.5,76.45,5.93,21.16,34.8
2019-06-30,6.41,22.94,17.29,23.02,67.9,16.49,65.13,8.93,7.71,79.95,5.15,9.92,12.22,16.14,59.16,12.64,17.38,10.89,5.35,7.77,5.45,17.1,8.1,4.92,12.15,9.98,15.67,14.15,2.8,5.64,,67.24,29.28,16.82,33.19,,10.34,41.65,47.65,47.02,12.0,16.11,27150.0,102.99,11.82,2.2,,7.84,11.35,9.61,10.22,6.48,30.2,5.34,30.18,57.78,3.24,51.42,128.0,73.47,6.16,21.83,33.8
2019-07-31,6.58,25.79,19.37,26.21,70.59,16.05,68.78,9.5,8.66,72.96,4.9,9.23,11.67,17.17,66.19,12.95,17.45,12.88,5.08,7.1,5.14,17.95,7.77,4.87,12.0,10.71,15.22,12.87,2.95,5.99,,64.81,33.7,16.07,32.13,,10.54,47.37,52.45,49.98,11.13,16.61,28000.0,104.49,11.71,2.14,,7.33,10.7,9.71,11.49,6.47,34.35,5.95,30.49,64.26,3.69,54.22,133.4,73.59,6.04,22.04,36.95
2019-08-31,6.41,31.78,21.14,27.02,63.87,15.43,57.64,9.25,7.58,68.91,4.66,10.46,10.98,19.2,62.44,13.74,19.12,13.16,4.86,6.97,5.15,17.0,7.65,4.53,11.62,11.66,17.87,13.94,2.77,6.23,,61.08,36.89,16.07,34.69,,10.48,46.96,49.25,53.5,10.18,18.59,26400.0,102.24,11.61,2.04,,6.8,10.4,10.16,11.44,6.59,33.28,5.8,27.5,64.74,4.09,54.88,132.0,73.47,6.61,22.41,34.45
2019-09-30,6.76,28.74,21.49,27.67,62.86,16.13,59.63,9.69,7.23,69.13,4.54,11.78,10.72,20.86,65.98,14.93,18.32,12.02,4.49,8.08,5.49,15.15,7.56,4.45,11.47,10.9,16.6,14.78,2.7,6.63,,63.6,39.79,15.12,35.52,,10.34,41.85,48.45,52.33,10.18,19.36,25100.0,99.28,12.56,2.14,,7.27,10.55,11.03,12.14,6.35,35.17,6.06,27.91,65.85,4.2,53.24,137.7,78.76,7.18,22.95,33.1
2019-10-31,6.96,28.1,22.15,28.69,60.59,17.52,49.59,10.08,6.96,68.24,4.64,10.43,10.72,20.93,64.24,13.84,17.85,12.28,4.22,7.58,5.83,14.95,7.51,4.74,12.88,10.96,17.75,15.19,2.73,6.69,,60.11,39.32,14.49,33.13,,10.34,40.41,47.49,54.22,10.3,19.02,24300.0,98.12,13.19,2.14,,7.05,10.8,11.2,11.41,6.37,37.56,6.19,27.71,65.62,4.09,52.88,145.0,78.94,7.01,22.79,33.2
2019-11-30,6.67,25.15,22.85,28.15,59.9,17.59,39.86,9.37,7.28,68.69,4.4,9.55,11.11,20.39,62.38,13.28,16.81,11.93,3.85,7.78,5.25,14.6,7.87,5.16,12.05,11.52,16.83,15.3,2.77,6.44,,56.71,34.39,14.24,31.63,,10.26,38.97,46.13,52.85,10.1,18.34,17300.0,85.12,13.16,1.94,,6.54,10.1,10.82,14.66,6.21,36.54,5.96,26.1,67.76,3.99,51.42,144.9,73.78,6.57,22.68,34.45
2019-12-31,6.58,27.73,26.04,25.42,58.45,16.49,32.2,9.57,6.86,67.43,4.4,9.79,11.57,21.08,58.16,12.75,16.5,9.3,3.98,7.27,5.46,13.9,8.1,5.18,12.25,11.6,16.7,15.59,2.77,6.05,,45.77,35.97,13.64,33.13,,10.85,28.09,44.84,55.97,9.04,18.42,9330.0,85.88,13.02,2.1,,5.96,10.05,11.12,16.71,5.97,38.98,5.22,27.19,62.53,4.04,51.1,146.2,71.35,6.52,22.93,34.0
2020-01-31,6.64,25.79,29.06,23.9,50.1,17.96,34.96,11.18,6.91,73.33,3.95,7.8,11.6,18.8,53.69,12.72,13.52,9.48,3.64,6.55,5.35,13.5,8.3,5.41,12.05,10.88,16.23,14.49,2.66,6.05,,40.59,34.96,12.75,30.68,,10.79,26.73,42.44,54.87,8.29,17.2,7260.0,79.85,13.05,2.43,,5.84,10.2,10.2,21.01,5.93,38.33,4.74,23.94,64.52,3.99,51.02,130.2,66.45,7.31,22.68,30.05
2020-02-29,7.28,23.03,25.67,23.0,46.77,15.76,39.11,11.79,6.86,70.75,4.03,8.0,11.18,19.92,47.05,12.13,13.42,10.7,3.27,5.84,5.51,13.4,7.7,5.04,11.8,10.51,15.54,14.23,2.8,5.94,,39.7,33.61,13.05,29.79,,10.77,34.7,41.32,53.17,7.78,17.3,3260.0,62.16,15.23,3.78,,5.25,11.6,10.51,16.27,6.07,35.61,4.6,21.26,59.28,4.23,46.84,121.9,64.0,8.86,22.52,28.5
2020-03-31,5.14,15.29,17.41,19.1,31.52,13.27,28.22,7.88,5.45,58.22,3.89,5.23,9.52,14.86,34.01,9.09,10.58,7.35,2.55,3.8,3.52,12.2,5.81,3.02,8.2,8.33,12.36,10.72,2.21,3.94,,39.7,18.59,10.76,28.9,,10.31,24.26,30.79,30.52,5.6,14.53,3760.0,47.19,8.94,4.8,,3.83,7.3,7.09,8.44,4.86,26.79,2.51,14.06,40.55,2.99,37.06,97.2,55.73,5.52,22.14,19.15
2020-04-30,5.92,22.02,20.09,26.55,39.36,14.55,39.36,9.16,7.5,68.76,5.03,6.68,9.75,18.36,39.35,10.25,13.17,9.78,3.6,5.62,4.09,12.9,7.41,5.12,10.57,9.53,14.85,12.15,2.76,4.64,,47.64,25.78,13.61,29.62,,11.1,33.23,33.99,37.84,8.33,15.97,3500.0,62.54,9.67,6.26,,4.97,9.1,8.13,10.85,4.94,29.39,3.12,20.37,46.9,3.38,40.84,115.5,60.63,6.68,22.79,23.1
